id,Title,Permalink,"Product categories",Slug
274,"[:en]5G Implications for GCC Business[:ar]تأثير الجيل الخامس على أعمال دول مجلس التعاون الخليجي[:]",https://www.marmoremena.com/reports/5g-implications-for-gcc-business/,"Technology|Country>GCC Region",5g-implications-for-gcc-business
989,"[:en]GCC Asset Management - 2019[:ar]إدارة الأصول في دول مجلس التعاون الخليجي - 2019[:]",https://www.marmoremena.com/reports/gcc-asset-management-2019/,"Industry>Asset Management|Country>GCC Region",gcc-asset-management-2019
1022,"[:en]GCC Tourism and Hospitality[:ar]قطاع السياحة والضيافة في دول مجلس التعاون الخليجي[:]",https://www.marmoremena.com/reports/gcc-tourism-and-hospitality/,"Country>GCC Region|Industry>Hospitality",gcc-tourism-and-hospitality
1032,"[:en]MSCI upgrades Kuwait to Emerging Markets[:ar]ترقية سوق الكويت إلى مصاف الأسواق الناشئة على مؤشر MSCI[:]",https://www.marmoremena.com/reports/msci-upgrades-kuwait-to-emerging-markets/,"Others>First Take|Country>Kuwait",msci-upgrades-kuwait-to-emerging-markets
1046,"[:en]GCC Banking Mergers - What’s the story so far?[:ar]صفقات الاندماج المصرفي في دول مجلس التعاون الخليجي - ما الذي تم تحقيقه حتى الآن؟[:]",https://www.marmoremena.com/reports/gcc-banking-mergers-whats-the-story-so-far/,"Industry>Banking|Country>GCC Region",gcc-banking-mergers-whats-the-story-so-far
1047,"[:en]Kuwait - Japan: Opportunities for Further Leverage[:ar]الكويت – اليابان: فرص أكثر للارتقاء[:]",https://www.marmoremena.com/reports/kuwait-japan-opportunities-for-further-leverage/,Economy|Country>Kuwait,kuwait-japan-opportunities-for-further-leverage
1048,"[:en]Kuwait Index Inclusion - How will it redefine Kuwait’s economic prospects?[:ar]إدراج مؤشر السوق الكويتي عالمياً: هل هي بداية لإعادة صياغة آفاق الاقتصاد الكويتي؟[:]",https://www.marmoremena.com/reports/kuwait-index-inclusion-how-will-it-redefine-kuwaits-economic-prospects/,"Capital Markets>Equity|Country>Kuwait",kuwait-index-inclusion-how-will-it-redefine-kuwaits-economic-prospects
1054,"[:en]UAE Healthcare[:]",https://www.marmoremena.com/reports/uae-healthcare/,"Industry>Healthcare|Country>United Arab Emirates",uae-healthcare
1056,"[:en]UAE Banking Sector 2018[:ar]القطاع المصرفي الإماراتي 2018[:]",https://www.marmoremena.com/reports/uae-banking-sector-2018/,"Industry>Banking|Country>United Arab Emirates",uae-banking-sector-2018
1059,"[:en]Saudi Education[:]",https://www.marmoremena.com/reports/saudi-education/,"Industry>Education|Country>Saudi Arabia",saudi-education
1063,"[:en]2019 Global Outlook - What Experts Say[:ar]النظرة المستقبلية العالمية لعام 2019 - ماذا يقول الخبراء[:]",https://www.marmoremena.com/reports/2019-global-outlook-what-experts-say/,"Country>GCC Region|Capital Markets>Market Outlook",2019-global-outlook-what-experts-say
1068,"[:en]Financial Analysis of Saudi Arabian Oil Company (Saudi Aramco)[:]",https://www.marmoremena.com/reports/financial-analysis-of-saudi-arabian-oil-company-saudi-aramco/,"Capital Markets>Equity|Country>Saudi Arabia",financial-analysis-of-saudi-arabian-oil-company-saudi-aramco
1076,"[:en]Saudi Arabia Roads & Railways[:]",https://www.marmoremena.com/reports/saudi-arabia-roads-railways/,"Industry>Roads and Railways|Country>Saudi Arabia",saudi-arabia-roads-railways
1079,"[:en]GCC’s Best Capital Allocators[:ar]أفضل مخصصات رأس المال في دول مجلس التعاون الخليجي[:]",https://www.marmoremena.com/reports/gccs-best-capital-allocators/,"Capital Markets>Equity|Country>GCC Region",gccs-best-capital-allocators
1090,"[:en]GCC’s RODE Stocks[:ar]أسهم RODE* في دول مجلس التعاون الخليجي[:]",https://www.marmoremena.com/reports/gccs-rode-stocks/,"Country>GCC Region|Capital Markets>Stocks",gccs-rode-stocks
1136,"[:en]Kuwait Banking Sector Outlook 2020[:]",https://www.marmoremena.com/reports/kuwait-banking-sector/,Industry>Banking|Country>Kuwait,kuwait-banking-sector
1159,"[:en]GCC Online Retail[:ar]GCC Online Retail[:]",https://www.marmoremena.com/reports/gcc-online-retail/,"Country>GCC Region|Industry>Retail",gcc-online-retail
1161,"[:en]Private Equity in GCC[:]",https://www.marmoremena.com/reports/private-equity-in-gcc/,"Capital Markets>Equity|Country>GCC Region|Industry>Others",private-equity-in-gcc
1163,"[:en]UAE Aviation[:]",https://www.marmoremena.com/reports/uae-aviation/,"Industry>Aviation|Country>United Arab Emirates",uae-aviation
1166,"[:en]GCC Aviation - Full Service Carriers (FSC)[:]",https://www.marmoremena.com/reports/gcc-aviation-full-service-carriers-fsc/,"Industry>Aviation|Country>GCC Region",gcc-aviation-full-service-carriers-fsc
1176,"[:en]Saudi Power Sector - Challenges & Opportunities post Covid-19[:ar]Saudi Power Sector - Challenges & Opportunities post Covid-19[:]",https://www.marmoremena.com/reports/saudi-power/,"Industry>Power|Country>Saudi Arabia",saudi-power
1208,"[:en]Kuwait and the UK - Opportunities for Further Leverage[:ar]الكويت والمملكة المتحدة – فرص أكثر للارتقاء[:]",https://www.marmoremena.com/reports/kuwait-uk-opportunities-for-further-leverage/,Economy|Country>Kuwait,kuwait-uk-opportunities-for-further-leverage
1218,"[:en]Kuwait - U.S.[:]",https://www.marmoremena.com/reports/kuwait-us-trade/,Economy|Country>Kuwait,kuwait-us-trade
1223,"[:en]Kuwait - China: Opportunities for Further Leverage[:ar]الكويت والصين: فرص أكثر للارتقاء[:]",https://www.marmoremena.com/reports/kuwait-china-opportunities-for-further-leverage/,Economy|Country>Kuwait,kuwait-china-opportunities-for-further-leverage
1619,"[:en]Qatar Banking Sector[:ar]Qatar Banking Sector[:]",https://www.marmoremena.com/reports/qatar-banking/,Industry>Banking|Country>Qatar,qatar-banking
